Qty;Value;Device;Package;Parts;Description;Reichelt;Conrad
1;;233-102;233-102;X1;WAGO Cage Clamp;WAGO 250-402;
4;0;R-EU_R0402;R0402;R25, R26, R27, R32;RESISTOR, European symbol;RND 0402 0;
2;0;R-EU_R0603;R0603;R37, R38;RESISTOR, European symbol;RND 0603 0;
3;0*;R-EU_R0402;R0402;R29, R30, R31;RESISTOR, European symbol;RND 0402 0;
5;0*;R-EU_R0603;R0603;R21, R23, R33, R35, R36;RESISTOR, European symbol;RND 0603 0;
5;1;R-EU_R0402;R0402;R12, R13, R14, R15, R16;RESISTOR, European symbol;RND 0603 1 1,0;
2;100;R-EU_R0603;R0603;R22, R24;RESISTOR, European symbol;RND 0603 1 100;
1;100k;R-EU_R0402;R0402;R28;RESISTOR, European symbol;RND 0402 1 100K;
1;100k;R-EU_R0603;R0603;R9;RESISTOR, European symbol;RND 0603 1 100K;
1;100p;C-EUC0603;C0603;C19;CAPACITOR, European symbol;X7R 0603FCG 100P;
9;10u;C-EUC1210;C1210;C2, C3, C4, C5, C8, C9, C10, C11, C14;CAPACITOR, European symbol;KEM X5R1210 10U;
1;1n;C-EUC0603;C0603;C15;CAPACITOR, European symbol;X7R-G0603 1,0N;
6;1u;C-EUC0603;C0603;C6, C12, C13, C16, C17, C18;CAPACITOR, European symbol;X7R-G0603 1,0/16;
1;ATTINY85V;ATTINY85V-10SU;SOIC127P798X216-8N;U3;8-bit Microcontroller with In-System Programmable Flash;ATTINY 85V-10 SU;
4;BAT54;BAT54;SOT23;D3, D4, D5, D6;Schottky Diodes;BAT 54C SMD;
1;BQ24090;BQ24090DGQT;SOP50P490X110-11N;U1;1A, Single-Input, Single Cell Li-Ion Battery Charger;BQ 24090 DGQT;
1;DS2431P;DS2431P;TSOC6;IC3;1024-Bit EEPROM;DS 2431P+;
1;L-EUPIS24XX_15u;L-EUPIS24XX;PIS24XX;L3;;L-PIS2408 15µ;
1;L-EUPIS24XX_22u;L-EUPIS24XX;PIS24XX;L1;;L-PIS2408 22µ;
1;L-EUPIS47XX_15u;L-EUPIS47XX;PIS47XX;L4;;L-PIS4720 15µ;
1;L-EUPIS47XX_22u;L-EUPIS47XX;PIS47XX;L2;;L-PIS4720 22µ;
2;MCP16311;MCP16311;SOP65P490X110-8N;IC1, IC2;;MCP 16311-E/MS;
1;MCP1726;MCP1726-3302E/SN;SOIC127P490X175-8N;U2;Current LDO Regulator;;1085924 - 62
2;MICROMATCH-4;MICROMATCH-4;MICROMATCH-4;X2, X3;MicroMaTch 4  7-215464-4 / 0-215464-4;MPE 369-1-004;
2;MICROMATCH-4;;;;;MPE 372-1-004;
1;Lithiumakku;;;;;AKKU IPD 3G;
